cam1,220,16,244,119,272,232,300,341,327,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,219,6,239,86,267,190,292,285,317,373,340,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,219,7,239,86,265,185,289,278,313,365,334,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,224,25,249,124,274,220,297,309,320,393,339,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,224,24,250,124,299,306,322,389,341,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,227,51,249,155,269,250,287,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,222,19,245,111,270,206,294,298,339,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,220,13,241,95,266,191,290,280,313,362,333,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,227,38,251,134,276,226,321,391,340,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,223,25,248,123,273,216,297,304,319,387,339,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,232,57,259,156,285,248,333,415,350,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,231,50,258,144,283,234,308,318,332,398,352,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,223,22,246,117,272,210,295,298,318,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,221,20,244,115,269,212,293,304,316,391,335,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,224,27,249,127,272,222,296,313,319,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,220,13,241,100,288,288,311,372,331,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,493,1,219,7,238,79,263,174,287,261,310,343,332,420,346,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,493,1,229,39,256,135,282,226,308,311,333,392,355,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,220,10,241,88,268,184,293,272,339,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,237,71,264,167,289,256,313,340,336,419,352,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,493,1,219,9,238,86,263,181,285,268,306,349,327,425,340,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,493,1,492,1,220,9,239,86,265,182,290,271,314,354,337,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,227,39,252,137,277,230,300,315,322,393,339,451,356,454,363,443,370,432,376,418,382,403,387,388,392,373,394,358,398,347,407,343,416,339,430,329,435,322,440,316,444,309,446,302,447,296,450,290,460,284,469,279,477,273,484,267,491,256,493,251,493,246,493,241
cam1,233,53,261,150,287,243,314,331,339,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,230,53,255,150,279,241,302,326,325,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,224,29,249,127,273,219,296,304,319,384,338,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,223,22,248,117,272,211,296,299,317,380,337,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,229,56,253,156,275,250,296,338,316,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,232,55,258,150,284,242,309,328,333,411,351,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,228,56,250,156,292,348,313,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,230,57,255,155,278,246,300,331,322,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,222,16,245,105,271,200,296,293,320,380,342,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,219,6,237,77,263,171,286,259,331,418,346,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,218,4,236,73,261,169,284,257,307,340,345,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,226,35,250,130,273,219,295,303,316,381,334,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,220,13,241,97,290,279,312,361,333,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,225,27,250,123,274,215,297,304,339,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,215,1,233,67,257,167,279,257,300,343,320,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,217,3,237,72,262,169,309,343,332,422,346,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,220,8,240,83,266,180,291,270,315,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,223,24,246,119,270,210,293,296,315,376,335,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,218,3,237,71,263,165,312,332,334,406,352,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,221,14,243,101,265,195,287,282,308,363,327,436,338,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,224,22,248,114,274,205,299,292,323,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,218,6,236,76,260,171,282,259,305,343,325,422,339,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,223,21,246,112,270,203,316,368,336,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,229,46,255,143,281,236,305,324,329,405,347,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,232,52,257,146,282,237,307,323,330,404,349,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,219,8,238,82,262,176,284,264,307,348,328,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,224,24,249,119,273,210,297,295,341,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,228,45,252,140,298,316,319,396,338,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,228,44,251,139,274,230,295,315,316,396,334,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,221,14,242,97,265,188,287,274,309,354,329,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,221,11,242,87,268,180,293,267,318,351,342,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1,218,5,235,74,259,170,282,260,305,345,327,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
